1;AGIPLAN CRÉDITO À VISTA
2;AGIPLAN PARCELADO LOJA
3;BANESCARD CRÉDITO À VISTA
4;BANESCARD PARCELADO LOJA
5;ESPLANADA CRÉDITO À VISTA
6;CREDZ CRÉDITO À VISTA
7;ESPLANADA PARCELADO LOJA
8;CREDZ PARCELADO LOJA
9;ELO CREDIÁRIO
10;MASTERCARD CRÉDITO À VISTA
11;MAESTRO
12;MASTERCARD PARCELADO LOJA
13;ELO CONSTRUCARD
14;ELO AGRO DÉBITO
15;ELO AGRO CUSTEIO
16;ELO AGRO INVESTIMENTO
17;ELO AGRO CUSTEIO + DÉBITO
18;ELO AGRO INVESTIMENTO + DÉBITO
19;DISCOVER CRÉDITO À VISTA
20;DINERS CRÉDITO À VISTA
21;DINERS PARCELADO LOJA
22;AGRO CUSTEIO + ELECTRON
23;AGRO INVESTIMENTO + ELECTRON
24;FCO INVESTIMENTO
25;AGRO ELECTRON
26;AGRO CUSTEIO
27;AGRO INVESTIMENTO
28;FCO GIRO
33;JCB
36;SAQUE COM CARTÃO DE DÉBITO VISA
37;FLEX CAR VISA VALE
38;CREDSYSTEM CRÉDITO À VISTA
39;CREDSYSTEM PARCELADO LOJA
40;VISA CRÉDITO À VISTA
41;VISA ELECTRON DÉBITO À VISTA
42;VISA PEDÁGIO
43;VISA PARCELADO LOJA
44;VISA ELECTRON PRÉ-DATADO
45;ALELO REFEIÇÃO BANDEIRA VISA/ELO
46;ALELO ALIMENTAÇÃO BANDEIRA VISA/ELO
58;ELO CULTURA
59;ALELO AUTO
61;SOROCRED CRÉDITO À VISTA
62;SOROCRED PARCELADO LOJA
64;VISA CREDIÁRIO
65;ALELO REFEIÇÃO BANDEIRA ELO
66;ALELO ALIMENTAÇÃO BANDEIRA ELO
67;VISA CAPITAL DE GIRO
68;VISA CRÉDITO IMOBILIÁRIO
69;CULTURA VISA VALE
70;ELO CRÉDITO
71;ELO DÉBITO A VISTA
72;ELO PARCELADO LOJA
79;PAGAMENTO CARNÊ VISA ELECTRON
80;VISA CRÉDITO CONVERSOR DE MOEDA*
81;ELO CRÉDITO ESPECIALIZADO***
89;ELO CRÉDITO IMOBILIÁRIO
91;MASTERCARD CRÉDITO ESPECIALIZADO***
94;BANESCARD DÉBITO
96;CABAL CRÉDITO À VISTA
97;CABAL DÉBITO
98;CABAL PARCELADO LOJA
342;MASTER PEDÁGIO**
377;ELO CARNÊ**
378;MASTER CARNÊ**
380;MASTERCARD CRÉDITO CONVERSOR DE MOEDA*
